game_id,play_id,time_s,speed_yards_per_s
2023091012,439,0.0,0.24
2023091012,439,0.1,0.41
2023091012,439,0.2,0.61
2023091012,439,0.3,0.84
2023091012,439,0.4,1.09
2023091012,439,0.5,1.34
2023091012,439,0.6,1.63
2023091012,439,0.7,1.96
2023091012,439,0.8,2.24
2023091012,439,0.9,2.43
2023091012,439,1.0,2.59
2023091012,439,1.1,2.68
2023091012,439,1.2,2.77
2023091012,439,1.3,2.78
2023091012,439,1.4,2.6
2023091012,439,1.5,2.19
2023091012,439,1.6,1.93
2023091012,439,1.7,1.59
2023091012,439,1.8,1.2
2023091012,439,1.9,0.82
2023091012,439,2.0,0.55
2023091012,439,2.1,0.45
2023091012,439,2.2,0.59
2023091012,439,2.3,0.72
2023091012,439,2.4,0.83
2023091012,439,2.5,0.91
2023091012,439,2.6,0.99
2023091012,439,2.7,0.98
2023091012,439,2.8,0.94
2023091012,439,2.9,0.89
2023091012,439,3.0,0.89
2023091012,439,3.1,0.91
2023091012,439,3.2,0.87
2023091012,439,3.3,0.86
2023091012,439,3.4,0.72
2023091012,439,3.5,0.53
2023091012,439,3.6,0.4
2023091012,582,0.0,0.46
2023091012,582,0.1,0.73
2023091012,582,0.2,0.96
2023091012,582,0.3,1.16
2023091012,582,0.4,1.37
2023091012,582,0.5,1.66
2023091012,582,0.6,1.8
2023091012,582,0.7,1.97
2023091012,582,0.8,2.05
2023091012,582,0.9,1.97
2023091012,582,1.0,1.85
2023091012,582,1.1,1.67
2023091012,582,1.2,1.44
2023091012,582,1.3,1.08
2023091012,582,1.4,0.85
2023091012,582,1.5,0.71
2023091012,582,1.6,0.66
2023091012,582,1.7,0.65
2023091012,582,1.8,0.59
2023091012,605,0.0,0.39
2023091012,605,0.1,0.64
2023091012,605,0.2,0.96
2023091012,605,0.3,1.2
2023091012,605,0.4,1.48
2023091012,605,0.5,1.71
2023091012,605,0.6,1.89
2023091012,605,0.7,2.04
2023091012,605,0.8,2.14
2023091012,605,0.9,2.16
2023091012,605,1.0,2.09
2023091012,605,1.1,2.06
2023091012,605,1.2,2.02
2023091012,605,1.3,1.86
2023091012,605,1.4,1.59
2023091012,605,1.5,1.29
2023091012,605,1.6,0.96
2023091012,605,1.7,0.69
2023091012,605,1.8,0.48
2023091012,605,1.9,0.37
2023091012,605,2.0,0.38
2023091012,605,2.1,0.39
2023091012,652,0.0,0.15
2023091012,652,0.1,0.31
2023091012,652,0.2,0.51
2023091012,652,0.3,0.8
2023091012,652,0.4,1.06
2023091012,652,0.5,1.34
2023091012,652,0.6,1.65
2023091012,652,0.7,1.93
2023091012,652,0.8,2.12
2023091012,652,0.9,2.36
2023091012,652,1.0,2.5
2023091012,652,1.1,2.6
2023091012,652,1.2,2.57
2023091012,652,1.3,2.41
2023091012,652,1.4,2.12
2023091012,652,1.5,1.74
2023091012,652,1.6,1.37
2023091012,652,1.7,0.92
2023091012,652,1.8,0.47
2023091012,652,1.9,0.07
2023091012,652,2.0,0.26
2023091012,652,2.1,0.53
2023091012,652,2.2,0.75
2023091012,652,2.3,0.85
2023091012,652,2.4,0.91
2023091012,652,2.5,0.9
2023091012,677,0.0,0.79
2023091012,677,0.1,1.05
2023091012,677,0.2,1.26
2023091012,677,0.3,1.58
2023091012,677,0.4,1.82
2023091012,677,0.5,2.02
2023091012,677,0.6,2.22
2023091012,677,0.7,2.41
2023091012,677,0.8,2.5
2023091012,677,0.9,2.57
