game_id,play_id,time_s,speed_yards_per_s
2023091012,439,0.0,0.81
2023091012,439,0.1,1.02
2023091012,439,0.2,1.3
2023091012,439,0.3,1.69
2023091012,439,0.4,2.41
2023091012,439,0.5,2.94
2023091012,439,0.6,3.38
2023091012,439,0.7,3.75
2023091012,439,0.8,4.12
2023091012,439,0.9,4.53
2023091012,439,1.0,4.86
2023091012,439,1.1,5.16
2023091012,439,1.2,5.47
2023091012,439,1.3,5.74
2023091012,439,1.4,6.05
2023091012,439,1.5,6.36
2023091012,439,1.6,6.58
2023091012,439,1.7,6.7
2023091012,439,1.8,6.74
2023091012,439,1.9,6.78
2023091012,439,2.0,6.79
2023091012,439,2.1,6.8
2023091012,439,2.2,6.87
2023091012,439,2.3,6.89
2023091012,439,2.4,6.96
2023091012,439,2.5,7.08
2023091012,439,2.6,7.14
2023091012,439,2.7,7.29
2023091012,439,2.8,7.4
2023091012,439,2.9,7.42
2023091012,439,3.0,7.39
2023091012,439,3.1,7.39
2023091012,439,3.2,7.28
2023091012,439,3.3,7.14
2023091012,439,3.4,6.95
2023091012,439,3.5,6.75
2023091012,439,3.6,6.55
2023091012,582,0.0,0.12
2023091012,582,0.1,0.13
2023091012,582,0.2,0.15
2023091012,582,0.3,0.22
2023091012,582,0.4,0.39
2023091012,582,0.5,0.6
2023091012,582,0.6,0.99
2023091012,582,0.7,1.22
2023091012,582,0.8,1.49
2023091012,582,0.9,1.84
2023091012,582,1.0,2.23
2023091012,582,1.1,2.64
2023091012,582,1.2,3.22
2023091012,582,1.3,3.65
2023091012,582,1.4,4.01
2023091012,582,1.5,4.45
2023091012,582,1.6,4.75
2023091012,582,1.7,4.96
2023091012,582,1.8,5.11
2023091012,605,0.0,0.89
2023091012,605,0.1,1.32
2023091012,605,0.2,1.81
2023091012,605,0.3,2.25
2023091012,605,0.4,2.72
2023091012,605,0.5,3.1
2023091012,605,0.6,3.57
2023091012,605,0.7,3.9
2023091012,605,0.8,4.12
2023091012,605,0.9,4.4
2023091012,605,1.0,4.63
2023091012,605,1.1,4.91
2023091012,605,1.2,5.14
2023091012,605,1.3,5.4
2023091012,605,1.4,5.63
2023091012,605,1.5,5.9
2023091012,605,1.6,6.19
2023091012,605,1.7,6.37
2023091012,605,1.8,6.45
2023091012,605,1.9,6.41
2023091012,605,2.0,6.59
2023091012,605,2.1,6.57
2023091012,652,0.0,0.02
2023091012,652,0.1,0.05
2023091012,652,0.2,0.11
2023091012,652,0.3,0.18
2023091012,652,0.4,0.36
2023091012,652,0.5,0.57
2023091012,652,0.6,0.88
2023091012,652,0.7,1.16
2023091012,652,0.8,1.58
2023091012,652,0.9,1.92
2023091012,652,1.0,2.61
2023091012,652,1.1,3.04
2023091012,652,1.2,3.41
2023091012,652,1.3,3.86
2023091012,652,1.4,4.37
2023091012,652,1.5,4.68
2023091012,652,1.6,5.06
2023091012,652,1.7,5.36
2023091012,652,1.8,5.53
2023091012,652,1.9,5.64
2023091012,652,2.0,5.72
2023091012,652,2.1,5.76
2023091012,652,2.2,5.91
2023091012,652,2.3,5.98
2023091012,652,2.4,6.04
2023091012,652,2.5,6.02
2023091012,783,0.0,0.43
2023091012,783,0.1,0.81
2023091012,783,0.2,1.38
2023091012,783,0.3,1.74
2023091012,783,0.4,2.21
2023091012,783,0.5,2.64
2023091012,783,0.6,3.28
2023091012,783,0.7,3.74
2023091012,783,0.8,4.18
2023091012,783,0.9,4.58
2023091012,783,1.0,4.97
2023091012,783,1.1,5.24
2023091012,783,1.2,5.46
2023091012,783,1.3,5.64
2023091012,783,1.4,5.74
2023091012,1392,0.0,0.61
2023091012,1392,0.1,0.75
2023091012,1392,0.2,1.13
2023091012,1392,0.3,1.42
